,agent,step,test_id,avg_reward,std_reward
0,ia2c,600,-1,-184.44525299765974,246.22418002513297
1,ia2c,1200,-1,-202.77680344662218,273.63337107610573
2,ia2c,1800,-1,-1195.924023015038,1428.2221158085604
3,ia2c,2400,-1,-712.7662980749204,834.9508514628164
4,ia2c,3000,-1,-261.9020613663858,360.35259822325474
5,ia2c,3600,-1,-690.7584603933469,873.0552307532269
6,ia2c,3960,-1,-1513.3273692057783,939.9144662520453
7,ia2c,4560,-1,-127.94704792586114,187.42670513013988
8,ia2c,5160,-1,-320.28732336983734,466.517212416689
9,ia2c,5760,-1,-261.57213260890717,374.6203016012863
10,ia2c,6360,-1,-453.8740059009043,641.1289966808317
11,ia2c,6960,-1,-56.19040043072467,83.39948058403361
12,ia2c,7560,-1,-340.0729344546788,452.37241892018756
13,ia2c,8160,-1,-146.10361714282607,206.19728694286792
14,ia2c,8760,-1,-152.2348695779114,216.17569783886452
15,ia2c,9360,-1,-153.59897605251498,210.03231142932546
16,ia2c,9960,-1,-945.8538082982282,627.8135894094007
17,ia2c,10560,-1,-1584.589232750674,1255.1030819214784
18,ia2c,11160,-1,-127.87384335261925,89.66290164460763
19,ia2c,11760,-1,-1188.4716663538225,1058.5509291316284
20,ia2c,12360,-1,-1660.1300245857553,983.382423364931
21,ia2c,12960,-1,-1365.6871561661164,1300.242785535912
22,ia2c,13320,-1,-2187.428499632984,818.8383800636739
23,ia2c,13920,-1,-930.9946702591208,995.8609901797373
24,ia2c,14520,-1,-1253.090658606955,1353.9673832349167
25,ia2c,15120,-1,-550.077064004276,983.925853755003
26,ia2c,15720,-1,-914.4162381263618,903.7000652863362
27,ia2c,16320,-1,-972.6603191686753,1354.9495907158168
28,ia2c,16920,-1,-1190.7959387521587,1442.2416868586163
29,ia2c,17220,-1,-1707.853370129694,662.2786979679604
30,ia2c,17820,-1,-705.8505681938448,1214.4072765655453
31,ia2c,18420,-1,-782.4095842633286,1189.8768442957282
32,ia2c,19020,-1,-539.0503643993466,561.2079413223593
33,ia2c,19620,-1,-277.2800296766412,70.3597968118956
34,ia2c,20220,-1,-1185.4738826087946,1154.2593858625578
35,ia2c,20820,-1,-901.1025696438293,1252.6044573236493
36,ia2c,21420,-1,-742.6958787213505,1278.9079751531706
37,ia2c,22020,-1,-773.7715177610459,1174.1842940262402
38,ia2c,22620,-1,-1779.6626637199524,1201.6100434809237
39,ia2c,23220,-1,-686.7606906902051,832.1929796807159
40,ia2c,23520,-1,-1648.678791790396,859.7181199225369
41,ia2c,24120,-1,-1853.1632707174404,1217.6906549165683
42,ia2c,24720,-1,-1045.3151868757275,1343.321261892822
43,ia2c,25320,-1,-1748.6170703148405,1051.061431432634
44,ia2c,25920,-1,-1775.417670363819,1282.498143467462
45,ia2c,26520,-1,-1427.8237032207905,1069.7908061361948
46,ia2c,27120,-1,-640.068949001903,878.4753737277196
47,ia2c,27720,-1,-374.13989135305,527.4206698718705
48,ia2c,28320,-1,-926.0388239648918,1099.0138689216258
49,ia2c,28920,-1,-995.3252111270816,1326.4161963940003
50,ia2c,29520,-1,-1063.419613536519,730.7912176752736
51,ia2c,30120,-1,-1544.6608435235044,1611.0646198563386
52,ia2c,30720,-1,-1728.0670430450011,1452.8318541310462
53,ia2c,31020,-1,-2314.629463094208,955.4802081303053
54,ia2c,31620,-1,-1709.1019620705376,1003.3066621404562
55,ia2c,32220,-1,-1490.9090012569445,1581.8561110335952
56,ia2c,32820,-1,-1377.3927591502809,1584.8549053489264
57,ia2c,33420,-1,-935.4199412261775,1290.7548320186097
58,ia2c,33720,-1,-2224.90801013397,1070.3454246551473
59,ia2c,34320,-1,-506.853897489269,707.3331778995779
60,ia2c,34680,-1,-1440.6393417394522,799.5018475387128
61,ia2c,34980,-1,-1592.3953767091057,1119.0699479303212
62,ia2c,35580,-1,-878.8457411782717,1213.719112723169
63,ia2c,35880,-1,-1542.4063142297746,1233.587325260617
64,ia2c,36180,-1,-1010.4958013932018,493.75807107198665
65,ia2c,36480,-1,-1660.443711154236,1055.9098030124167
66,ia2c,37080,-1,-474.5357669254235,159.5969906299233
67,ia2c,37320,-1,-1270.2186105253654,1060.7251940901697
68,ia2c,37560,-1,-1071.4908533621306,724.6251873215872
69,ia2c,37860,-1,-1680.133587874162,1053.47640019106
70,ia2c,38160,-1,-1836.4279353879147,1067.1418664183034
71,ia2c,38400,-1,-1007.4022292724644,1008.2908817040403
72,ia2c,38700,-1,-925.4470579883686,1243.6028876124342
73,ia2c,39300,-1,-273.1883770519137,56.35460331448914
74,ia2c,39600,-1,-1697.849458500402,1189.2020287273094
